Name,Maze,Combination,Move 0,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8
1s1,A,ABC,f5,f4,g2,e3,a3,a6,d5,e6,g6
1s1,B,ABC,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s1,C,ABC,b7,a5,a4,a3,c4,d1,f1,g1,e5
1s2,B,BCA,f1,e1,d1,a1,b3,f4,d5,g6,d7
1s2,C,BCA,b7,e5,c4,a5,a4,a3,d1,f1,g1
1s2,A,BCA,f5,g6,e6,f4,g2,e3,d5,a3,a6
1s3,C,CAB,b7,a5,a4,a3,c4,e5,g1,f1,d1
1s3,A,CAB,f5,f4,e3,g2,g6,e6,d5,a3,a6
1s3,B,CAB,f1,f4,g6,d7,d5,b3,a1,d1,e1
1s4,A,ABC,f5,g6,e6,a6,a3,d5,e3,f4,g2
1s4,B,ABC,f1,e1,d1,a1,b3,f4,d5,g6,d7
1s4,C,ABC,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s5,B,BCA,f1,e1,d5,f4,g6,d7,b3,a1,d1
1s5,C,BCA,b7,e5,g1,f1,d1,c4,a3,a4,a5
1s5,A,BCA,f5,f4,g2,e3,d5,a3,a6,e6,g6
1s6,C,CAB,b7,a5,a4,a3,c4,d1,f1,g1,e5
1s6,A,CAB,f5,g6,e6,d5,a6,a3,e3,f4,g2
1s6,B,CAB,f1,f4,g6,d7,d5,b3,a1,d1,e1
1s7,A,ABC,f5,g6,e6,a6,d5,f4,g2,e3,a3
1s7,B,ABC,f1,e1,d1,a1,b3,d7,d5,g6,f4
1s7,C,ABC,b7,a5,a4,a3,d1,f1,g1,c4,e5
1s8,B,BCA,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s8,C,BCA,b7,a5,a4,a3,d1,f1,g1,e5,c4
1s8,A,BCA,f5,g6,e6,a6,d5,a3,g2,e3,f4
1s9,C,CAB,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s9,A,CAB,f5,g6,e6,d5,a6,a3,e3,g2,f4
1s9,B,CAB,f1,e1,d1,a1,b3,d5,f4,g6,d7
1s10,A,ABC,f5,g6,e6,d5,a6,a3,e3,g2,f4
1s10,B,ABC,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s10,C,ABC,b7,a5,a4,a3,d1,f1,g1,c4,e5
1s11,B,BCA,f1,e1,d1,a1,b3,f4,d5,g6,d7
1s11,C,BCA,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s11,A,BCA,f5,g6,e6,d5,a6,a3,e3,g2,f4
1s12,C,CAB,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s12,A,CAB,f5,g6,e6,f4,g2,e3,d5,a6,a3
1s12,B,CAB,f1,e1,d1,a1,b3,f4,d5,d7,g6
